epoch,num_p_nodes,arrival_rate,v_net_count,success_count,place_failure,route_failure,avg_r2c_ratio,avg_reward,max_running_requests,elapsed_time
0,481,2.254,1000,854,146,0,0.7177071173041082,1.5541476718284668,564,356.24229550361633
1,290,0.643,1000,1000,0,0,1.1003730733424129,2.100373073342386,298,202.2695655822754
2,245,0.443,1000,1000,0,0,1.4745686184983118,2.4745686184983193,223,177.0359239578247
3,431,1.690,1000,829,171,0,1.3525472189539753,2.046264422290582,486,240.57098817825317
4,59,0.025,1000,954,0,46,1.6936231616154347,2.597997051736666,21,146.83107733726501
5,386,1.275,1000,910,90,0,1.3448344401514902,2.186246959585455,445,239.28444814682007
6,300,0.695,1000,987,13,0,1.3821735099178183,2.359766365399964,318,200.06457424163818
7,190,0.264,1000,1000,0,0,1.5604552083912493,2.5604552083912275,161,166.25774455070496
8,295,0.668,1000,967,33,0,1.4511918259193564,2.3893473369338447,315,184.01087951660156
9,490,2.369,1000,831,169,0,1.4039793918457684,2.0889211603380753,548,252.27331280708313
10,318,0.796,1000,975,25,0,1.486218346351884,2.4408013797565555,354,181.48236989974976
11,440,1.783,1000,829,171,0,1.4095616330043657,2.0879170699510423,488,236.4029712677002
12,468,2.096,1000,854,146,0,1.279895073779232,2.0287252342772577,543,247.14118003845215
13,377,1.202,1000,943,57,0,1.3825998649012716,2.2827996091098197,443,203.53617072105408
14,254,0.479,1000,1000,0,0,1.5489339414242453,2.5489339414242114,250,165.67934679985046
15,104,0.087,1000,990,0,10,1.6475830247002645,2.627003623024674,56,130.57850408554077
16,436,1.741,1000,857,143,0,1.4300804977356818,2.165402002432453,484,234.35506415367126
17,327,0.850,1000,926,74,0,1.276723596481763,2.15112581224683,362,187.55747938156128
18,472,2.144,1000,883,117,0,1.2814772848648601,2.080972617138803,548,244.0359182357788
19,277,0.580,1000,995,5,0,1.249924236344843,2.2419111230995927,289,190.96472024917603
20,90,0.066,1000,984,0,16,1.619612711808377,2.588087797308327,45,163.36997270584106
21,168,0.209,1000,998,0,2,1.6242951645502366,2.620513240887748,112,174.30377411842346
22,250,0.463,1000,1000,0,0,1.4726590510755382,2.4726590510755146,245,183.32822561264038
23,131,0.132,1000,1000,0,0,1.694455348256109,2.6944553482561036,86,135.140784740448
24,86,0.060,1000,993,0,7,1.6971036833904216,2.683090624273334,40,133.02453565597534
25,500,2.500,1000,882,118,0,1.215965410507978,2.016820777782283,576,275.2966012954712
26,200,0.292,1000,1000,0,0,1.5871943295658517,2.587194329565827,157,151.9307599067688
27,136,0.142,1000,983,0,17,1.6980598908879858,2.6632952536952765,83,139.011159658432
28,304,0.716,1000,966,34,0,1.4301406083498167,2.3670864625864994,349,181.30646419525146
29,345,0.967,1000,945,55,0,1.406757915459334,2.306196547569362,379,192.21697878837585
30,459,1.991,1000,847,153,0,1.3748493863965892,2.0983644937699286,513,246.33537459373474
31,427,1.649,1000,871,129,0,1.2730755497817294,2.0551884863995276,481,239.3531367778778
32,77,0.048,1000,942,0,58,1.6961661237275365,2.5771773774402096,31,132.60542035102844
33,486,2.317,1000,856,144,0,1.3270596100682148,2.0681662008215187,546,264.941935300827
34,240,0.424,1000,1000,0,0,1.4794582672590129,2.4794582672589707,222,159.8443775177002
35,209,0.319,1000,1000,0,0,1.4707532694686325,2.4707532694686165,172,171.7461540699005
36,454,1.935,1000,892,108,0,1.3810860726296532,2.1844771894840194,528,266.67507314682007
37,445,1.836,1000,867,133,0,1.42190175658506,2.174202315022712,493,264.33604764938354
38,172,0.218,1000,1000,0,0,1.5865187611935423,2.5865187611935174,120,180.28121781349182
39,127,0.125,1000,998,0,2,1.6625603684813113,2.6581935810776853,79,169.0315899848938
40,118,0.109,1000,999,0,1,1.681087001941098,2.679030914939151,69,152.34584593772888
41,113,0.101,1000,991,0,9,1.7336901005686765,2.7155535563302045,62,134.55873918533325
42,150,0.169,1000,1000,0,0,1.65172186394833,2.6517218639483136,110,137.3974165916443
43,413,1.514,1000,859,141,0,1.327440600939851,2.0799810000168173,474,233.1885962486267
44,218,0.347,1000,1000,0,0,1.5790295253826625,2.57902952538263,175,155.68256855010986
45,163,0.197,1000,998,0,2,1.6224202829369527,2.6180309979266188,117,147.84210658073425
