event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,3,0,True,True,"{4: (5, {'cpu': 10, 'gpu': 7, 'ram': 13}), 2: (5, {'cpu': 20, 'gpu': 6, 'ram': 8}), 0: (5, {'cpu': 11, 'gpu': 7, 'ram': 17}), 5: (5, {'cpu': 4, 'gpu': 20, 'ram': 12}), 1: (5, {'cpu': 14, 'gpu': 8, 'ram': 5}), 8: (5, {'cpu': 17, 'gpu': 14, 'ram': 14}), 7: (141, {'cpu': 12, 'gpu': 6, 'ram': 14}), 3: (141, {'cpu': 13, 'gpu': 8, 'ram': 11}), 6: (223, {'cpu': 8, 'gpu': 7, 'ram': 17})}","{(2, 4): ([(5, 5)], {'bandwidth': 47}), (0, 2): ([(5, 5)], {'bandwidth': 31}), (0, 4): ([(5, 5)], {'bandwidth': 23}), (5, 4): ([(5, 5)], {'bandwidth': 48}), (1, 0): ([(5, 5)], {'bandwidth': 47}), (1, 5): ([(5, 5)], {'bandwidth': 43}), (1, 4): ([(5, 5)], {'bandwidth': 41}), (1, 2): ([(5, 5)], {'bandwidth': 4}), (8, 0): ([(5, 5)], {'bandwidth': 15}), (8, 5): ([(5, 5)], {'bandwidth': 5}), (7, 5): ([(5, 141)], {'bandwidth': 42}), (7, 0): ([(5, 141)], {'bandwidth': 39}), (7, 8): ([(5, 43), (43, 141)], {'bandwidth': 12}), (3, 5): ([(5, 43), (43, 141)], {'bandwidth': 36}), (3, 2): ([(5, 66), (66, 141)], {'bandwidth': 28}), (3, 8): ([(5, 66), (66, 141)], {'bandwidth': 27}), (6, 2): ([(5, 223)], {'bandwidth': 46}), (6, 7): ([(141, 13), (13, 223)], {'bandwidth': 26}), (6, 8): ([(5, 223)], {'bandwidth': 6}), (6, 4): ([(5, 223)], {'bandwidth': 0})}",694,869,1.2521613832853027,1,0
1,arrival,5,1,True,True,"{4: (77, {'cpu': 19, 'gpu': 11, 'ram': 10}), 6: (77, {'cpu': 17, 'gpu': 7, 'ram': 2}), 1: (77, {'cpu': 10, 'gpu': 15, 'ram': 18}), 0: (77, {'cpu': 16, 'gpu': 10, 'ram': 0}), 2: (79, {'cpu': 12, 'gpu': 18, 'ram': 9}), 5: (79, {'cpu': 2, 'gpu': 17, 'ram': 13}), 7: (136, {'cpu': 2, 'gpu': 17, 'ram': 10}), 3: (136, {'cpu': 20, 'gpu': 15, 'ram': 14})}","{(1, 4): ([(77, 77)], {'bandwidth': 44}), (1, 6): ([(77, 77)], {'bandwidth': 29}), (0, 4): ([(77, 77)], {'bandwidth': 38}), (0, 1): ([(77, 77)], {'bandwidth': 2}), (2, 1): ([(77, 79)], {'bandwidth': 41}), (2, 4): ([(77, 79)], {'bandwidth': 12}), (2, 6): ([(77, 79)], {'bandwidth': 7}), (2, 0): ([(77, 79)], {'bandwidth': 0}), (5, 6): ([(77, 72), (72, 79)], {'bandwidth': 38}), (5, 4): ([(77, 72), (72, 79)], {'bandwidth': 16}), (7, 6): ([(77, 136)], {'bandwidth': 6}), (7, 5): ([(79, 136)], {'bandwidth': 2}), (3, 6): ([(77, 136)], {'bandwidth': 42}), (3, 7): ([(136, 136)], {'bandwidth': 20}), (3, 0): ([(77, 136)], {'bandwidth': 12}), (3, 4): ([(77, 136)], {'bandwidth': 4})}",518,597,1.1525096525096525,2,0
2,arrival,5,2,True,True,"{5: (145, {'cpu': 15, 'gpu': 7, 'ram': 9}), 4: (145, {'cpu': 6, 'gpu': 8, 'ram': 1}), 3: (145, {'cpu': 2, 'gpu': 0, 'ram': 10}), 2: (145, {'cpu': 9, 'gpu': 5, 'ram': 7}), 1: (145, {'cpu': 11, 'gpu': 15, 'ram': 13}), 0: (145, {'cpu': 10, 'gpu': 12, 'ram': 16})}","{(4, 5): ([(145, 145)], {'bandwidth': 44}), (3, 5): ([(145, 145)], {'bandwidth': 25}), (2, 5): ([(145, 145)], {'bandwidth': 37}), (1, 3): ([(145, 145)], {'bandwidth': 40}), (1, 2): ([(145, 145)], {'bandwidth': 4}), (1, 5): ([(145, 145)], {'bandwidth': 3}), (0, 1): ([(145, 145)], {'bandwidth': 16})}",156,325,2.0833333333333335,3,0
3,arrival,6,3,True,True,"{4: (45, {'cpu': 0, 'gpu': 17, 'ram': 6}), 6: (45, {'cpu': 12, 'gpu': 13, 'ram': 12}), 1: (45, {'cpu': 8, 'gpu': 12, 'ram': 11}), 3: (45, {'cpu': 12, 'gpu': 4, 'ram': 11}), 5: (45, {'cpu': 9, 'gpu': 5, 'ram': 16}), 2: (45, {'cpu': 12, 'gpu': 19, 'ram': 14}), 8: (45, {'cpu': 14, 'gpu': 6, 'ram': 14}), 7: (15, {'cpu': 6, 'gpu': 3, 'ram': 12}), 0: (15, {'cpu': 9, 'gpu': 6, 'ram': 5})}","{(1, 4): ([(45, 45)], {'bandwidth': 49}), (1, 6): ([(45, 45)], {'bandwidth': 19}), (3, 1): ([(45, 45)], {'bandwidth': 33}), (5, 3): ([(45, 45)], {'bandwidth': 32}), (5, 4): ([(45, 45)], {'bandwidth': 25}), (5, 6): ([(45, 45)], {'bandwidth': 14}), (2, 4): ([(45, 45)], {'bandwidth': 41}), (2, 3): ([(45, 45)], {'bandwidth': 1}), (2, 6): ([(45, 45)], {'bandwidth': 1}), (8, 6): ([(45, 45)], {'bandwidth': 38}), (8, 3): ([(45, 45)], {'bandwidth': 11}), (8, 1): ([(45, 45)], {'bandwidth': 8}), (7, 5): ([(15, 45)], {'bandwidth': 36}), (7, 2): ([(15, 45)], {'bandwidth': 11}), (7, 6): ([(15, 45)], {'bandwidth': 9}), (0, 6): ([(15, 45)], {'bandwidth': 15}), (0, 2): ([(15, 45)], {'bandwidth': 12}), (0, 3): ([(15, 105), (105, 45)], {'bandwidth': 9}), (0, 1): ([(15, 45)], {'bandwidth': 2})}",371,634,1.7088948787061995,4,0
4,arrival,8,4,True,True,"{2: (6, {'cpu': 10, 'gpu': 13, 'ram': 8}), 3: (6, {'cpu': 14, 'gpu': 5, 'ram': 9}), 0: (6, {'cpu': 6, 'gpu': 9, 'ram': 18}), 1: (6, {'cpu': 11, 'gpu': 2, 'ram': 20})}","{(3, 2): ([(6, 6)], {'bandwidth': 48}), (0, 3): ([(6, 6)], {'bandwidth': 34}), (0, 2): ([(6, 6)], {'bandwidth': 5}), (1, 2): ([(6, 6)], {'bandwidth': 11})}",125,223,1.784,5,0
5,arrival,10,5,True,True,"{0: (179, {'cpu': 1, 'gpu': 16, 'ram': 4}), 1: (179, {'cpu': 8, 'gpu': 8, 'ram': 16}), 2: (179, {'cpu': 10, 'gpu': 4, 'ram': 18}), 5: (179, {'cpu': 8, 'gpu': 9, 'ram': 6}), 3: (179, {'cpu': 16, 'gpu': 15, 'ram': 11}), 4: (179, {'cpu': 4, 'gpu': 5, 'ram': 10})}","{(1, 0): ([(179, 179)], {'bandwidth': 48}), (2, 0): ([(179, 179)], {'bandwidth': 32}), (2, 1): ([(179, 179)], {'bandwidth': 25}), (5, 2): ([(179, 179)], {'bandwidth': 25}), (5, 1): ([(179, 179)], {'bandwidth': 11}), (3, 5): ([(179, 179)], {'bandwidth': 18}), (3, 0): ([(179, 179)], {'bandwidth': 16}), (3, 1): ([(179, 179)], {'bandwidth': 4}), (4, 3): ([(179, 179)], {'bandwidth': 29})}",169,377,2.230769230769231,6,0
6,arrival,15,6,True,True,"{0: (218, {'cpu': 2, 'gpu': 4, 'ram': 12}), 6: (218, {'cpu': 10, 'gpu': 13, 'ram': 6}), 5: (218, {'cpu': 2, 'gpu': 15, 'ram': 5}), 4: (218, {'cpu': 7, 'gpu': 0, 'ram': 15}), 3: (218, {'cpu': 3, 'gpu': 13, 'ram': 4}), 2: (218, {'cpu': 19, 'gpu': 12, 'ram': 12}), 1: (218, {'cpu': 10, 'gpu': 7, 'ram': 9}), 8: (93, {'cpu': 16, 'gpu': 4, 'ram': 5}), 7: (218, {'cpu': 10, 'gpu': 9, 'ram': 17})}","{(6, 0): ([(218, 218)], {'bandwidth': 42}), (5, 6): ([(218, 218)], {'bandwidth': 33}), (5, 0): ([(218, 218)], {'bandwidth': 9}), (4, 0): ([(218, 218)], {'bandwidth': 38}), (4, 5): ([(218, 218)], {'bandwidth': 25}), (4, 6): ([(218, 218)], {'bandwidth': 14}), (3, 0): ([(218, 218)], {'bandwidth': 37}), (3, 6): ([(218, 218)], {'bandwidth': 20}), (3, 5): ([(218, 218)], {'bandwidth': 18}), (2, 4): ([(218, 218)], {'bandwidth': 41}), (2, 0): ([(218, 218)], {'bandwidth': 38}), (2, 3): ([(218, 218)], {'bandwidth': 5}), (1, 5): ([(218, 218)], {'bandwidth': 40}), (1, 2): ([(218, 218)], {'bandwidth': 21}), (1, 3): ([(218, 218)], {'bandwidth': 15}), (1, 6): ([(218, 218)], {'bandwidth': 2}), (8, 0): ([(93, 218)], {'bandwidth': 32}), (8, 6): ([(93, 11), (11, 218)], {'bandwidth': 28}), (8, 1): ([(93, 218)], {'bandwidth': 16}), (8, 4): ([(93, 11), (11, 218)], {'bandwidth': 13}), (8, 2): ([(93, 27), (27, 82), (82, 218)], {'bandwidth': 12}), (7, 8): ([(93, 218)], {'bandwidth': 2})}",409,742,1.8141809290953546,7,0
7,arrival,16,7,True,True,"{0: (81, {'cpu': 7, 'gpu': 17, 'ram': 10}), 1: (81, {'cpu': 17, 'gpu': 17, 'ram': 16})}","{(1, 0): ([(81, 81)], {'bandwidth': 4})}",84,88,1.0476190476190477,8,0
8,arrival,18,8,True,True,"{0: (75, {'cpu': 9, 'gpu': 17, 'ram': 4}), 1: (75, {'cpu': 4, 'gpu': 18, 'ram': 9})}","{(1, 0): ([(75, 75)], {'bandwidth': 28})}",61,89,1.459016393442623,9,0
9,arrival,23,9,True,True,"{1: (102, {'cpu': 0, 'gpu': 13, 'ram': 17}), 0: (102, {'cpu': 18, 'gpu': 6, 'ram': 20})}","{(0, 1): ([(102, 102)], {'bandwidth': 2})}",74,76,1.027027027027027,10,0
