epoch,num_p_nodes,arrival_rate,v_net_count,success_count,place_failure,route_failure,avg_r2c_ratio,longterm_r2c_ratio,avg_reward,max_running_requests,elapsed_time
0,100,0.080,1000,790,0,210,0.5428421769508082, 0.46814673613283264, 1.3300453197911217,40,520.1262710094452
1,100,0.080,1000,811,0,189,0.6003871402317124, 0.48138520586252426, 1.3968778596167926,43,453.82626938819885
2,100,0.080,1000,810,0,190,0.6479739582731102, 0.4992266190481765, 1.4344727950900873,44,473.00372529029846
3,100,0.080,1000,880,0,120,0.660579605999461, 0.5067494266338805, 1.5281041008985423,43,474.3188726902008
4,100,0.080,1000,913,0,87,0.6963635447410035, 0.56945333780276, 1.591879519523116,44,496.0041003227234
5,100,0.080,1000,852,0,148,0.6981248263033605, 0.541398993100642, 1.4987821139152033,44,444.1462996006012
6,100,0.080,1000,922,0,78,0.7088297475243918, 0.5713116470014646, 1.601880709757129,48,492.2913544178009
7,100,0.080,1000,955,0,45,0.7167965623389774, 0.5996509438318072, 1.6551442884622665,47,496.9339578151703
8,100,0.080,1000,905,0,95,0.7175225366286312, 0.5887253500669485, 1.5907828956488708,49,461.62240529060364
9,100,0.080,1000,895,0,105,0.7041563741196463, 0.5697143077103242, 1.5626663834084853,52,453.69118309020996
10,100,0.080,1000,953,0,47,0.7410248401327637, 0.6206688787127645, 1.6764653234401297,47,498.5261490345001
11,100,0.080,1000,871,0,129,0.6945159844941036, 0.557204497390355, 1.5190262002721147,47,450.7787311077118
12,100,0.080,1000,897,0,103,0.718413850516316, 0.5712302067803852, 1.5842446048654824,43,453.8873269557953
13,100,0.080,1000,919,0,81,0.7091474400118134, 0.582431017741872, 1.6041457830851213,46,473.4904832839966
14,100,0.080,1000,915,0,85,0.7082781975899918, 0.5712573450949042, 1.5980574873027462,45,468.07540822029114
15,100,0.080,1000,917,0,83,0.7112666325775903, 0.5799806883804666, 1.6074001528672746,45,479.72718262672424
16,100,0.080,1000,905,0,95,0.7059467091286322, 0.5661057995806672, 1.585473438428046,45,453.74658012390137
17,100,0.080,1000,939,0,61,0.7386865493371956, 0.5883426401625435, 1.6556381777641116,46,485.79146337509155
18,100,0.080,1000,918,0,82,0.6884196558375785, 0.5716201138292959, 1.5822386885033157,48,463.5619897842407
19,100,0.080,1000,890,0,110,0.6982296244204848, 0.5532820631467531, 1.552733492718332,44,460.83838725090027
20,100,0.080,1000,929,0,71,0.7222249372632283, 0.5944454914616678, 1.6271489508444974,49,479.4689736366272
21,100,0.080,1000,955,0,45,0.7250394712765874, 0.6061724571838325, 1.6614019807833864,43,494.57152676582336
22,100,0.080,1000,890,0,110,0.6913035090690519, 0.5444340428695507, 1.5480144881507942,45,480.2072265148163
23,100,0.080,1000,957,0,43,0.7084718742916941, 0.601194766204513, 1.653015123379658,49,469.1969861984253
24,100,0.080,1000,929,0,71,0.6966645919540585, 0.5739910169808095, 1.6068129138617984,49,487.95033264160156
25,100,0.080,1000,884,0,116,0.7090814623771539, 0.5571234185992233, 1.5626990444874134,45,451.80220317840576
26,100,0.080,1000,953,0,47,0.7149985045313604, 0.598953349764584, 1.656638416088187,49,488.52401900291443
27,100,0.080,1000,904,0,96,0.7023085597301615, 0.5740855013792647, 1.5778774141865153,47,475.98875308036804
28,100,0.080,1000,895,0,105,0.6936521750033108, 0.5653357526022772, 1.565263537897775,46,495.8355555534363
29,100,0.080,1000,952,0,48,0.7229890165948598, 0.5919510722583969, 1.6650791945919128,48,499.28021001815796
