loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.0136,-0.0204,0.1279,5.7184,0.2621,0.8854,0.9904,-0.0028,0.7634
0.0015,-0.0146,0.1458,5.6834,0.2589,0.8703,0.8117,-0.0359,0.4841
-0.0812,-0.0669,0.0833,5.5969,0.2834,0.8873,0.8827,0.0296,0.2312
-0.1625,-0.1605,0.1089,5.6427,0.1955,0.6778,0.8105,0.1100,0.7575
0.0055,0.0317,0.0612,5.6786,0.2337,0.7573,0.8010,-0.0900,0.4658
-0.0953,-0.0586,0.0366,5.4963,0.2148,0.8692,0.8726,0.0462,0.5918
-0.1971,-0.1562,0.0244,5.3115,0.3140,0.9893,1.0067,0.0900,0.6481
-0.1859,-0.1592,0.0537,5.3565,0.2242,0.7654,0.8617,0.1127,0.8188
-0.0801,-0.0626,0.0711,5.3094,0.2542,0.8371,0.8881,-0.0090,0.4081
-0.0453,-0.0215,0.0571,5.2360,0.2000,0.8316,0.7831,-0.0464,0.4972
-0.1541,-0.1192,0.0318,5.0815,0.2038,0.8327,0.7883,0.0278,0.6954
-0.0936,-0.0639,0.0397,4.9584,0.2769,0.8841,0.9146,0.0016,0.7903
-0.1102,-0.0972,0.0744,5.0204,0.2051,0.8221,0.8495,0.0162,0.7800
-0.1185,-0.0813,0.0274,5.0862,0.2288,0.9259,0.9560,0.0006,0.5441
-0.1178,-0.0993,0.0618,4.9413,0.2372,0.8475,0.8373,0.0133,0.3791
-0.0184,-0.0033,0.0704,5.0259,0.2376,0.9786,0.8751,-0.0901,1.0370
-0.1861,-0.1576,0.0427,4.9919,0.2633,1.0982,1.0875,0.0812,0.9581
-0.1173,-0.1012,0.0676,4.9820,0.2209,0.7484,0.7803,0.0324,1.2154
0.0546,0.0455,0.1169,4.9318,0.1997,0.8439,0.7128,-0.1473,1.3445
-0.1773,-0.1479,0.0390,4.8854,0.2397,0.9646,0.9608,0.0679,0.5628
-0.1194,-0.0971,0.0515,4.8041,0.2256,0.8442,0.8474,0.0127,0.7874
-0.1181,-0.0883,0.0357,4.7676,0.2336,0.8765,0.8891,-0.0193,1.2023
-0.0890,-0.0521,0.0180,4.5893,0.2769,1.0100,1.1046,-0.0536,1.1804
-0.1102,-0.0750,0.0220,4.6161,0.2327,0.8583,0.8978,-0.0050,0.8578
-0.0509,-0.0447,0.0750,4.3701,0.2520,0.8739,0.8234,-0.0402,0.7489
-0.0634,-0.0285,0.0222,4.5938,0.2573,0.8461,0.8419,-0.0686,1.2722
-0.0914,-0.0645,0.0394,4.6606,0.2308,0.7001,0.7321,-0.0417,0.7629
-0.0902,-0.0665,0.0412,4.4301,0.2594,1.0255,1.0332,-0.0154,0.4298
-0.0627,-0.0478,0.0575,4.3624,0.2549,1.0066,1.0220,-0.0320,1.2313
-0.1336,-0.1209,0.0635,4.4396,0.2235,0.7517,0.8074,0.0307,1.2859
-0.1498,-0.1200,0.0238,4.1735,0.2403,0.9969,0.9416,0.0250,0.8967
-0.1290,-0.1079,0.0453,4.3730,0.3010,0.9769,0.9535,0.0143,0.5759
-0.0799,-0.0533,0.0394,4.6302,0.2057,0.9707,0.9550,-0.0628,0.4601
