epoch,num_p_nodes,arrival_rate,v_net_count,success_count,place_failure,route_failure,avg_r2c_ratio,longterm_r2c_ratio,avg_reward,max_running_requests,elapsed_time
0,40,0.001,1000,690,0,310,0.652586028418575, 0.5317960820228769, 1.3315168992913402,3,392.94363927841187
1,40,0.001,1000,811,0,189,0.7927839279131904, 0.6377583944456141, 1.5745521306169405,2,386.32820558547974
2,40,0.001,1000,827,0,173,0.7839518308431662, 0.6533901648808377, 1.5854047514088558,3,390.8646469116211
3,40,0.001,1000,818,0,182,0.8103062833700128, 0.6660854347008994, 1.6077924445585365,3,391.32078886032104
4,40,0.001,1000,820,0,180,0.8202598050908846, 0.675668443170873, 1.6123832782697198,3,398.5482528209686
5,40,0.001,1000,867,0,133,0.8240819510967218, 0.695647262679255, 1.662553257950034,3,383.5794355869293
6,40,0.001,1000,895,0,105,0.8134935063020333, 0.6876823885194352, 1.6891330373466427,2,373.54648995399475
7,40,0.001,1000,885,0,115,0.8225511309016235, 0.7010920373080296, 1.6850533857685326,3,399.5141808986664
8,40,0.001,1000,911,0,89,0.8216406855205299, 0.6997515642032107, 1.7174809343504271,3,384.732892036438
9,40,0.001,1000,928,0,72,0.8193659722837796, 0.700498031275693, 1.7364886857713897,2,396.2492825984955
10,40,0.001,1000,895,0,105,0.8264426754672678, 0.7109497944102315, 1.7004562739082532,3,409.83775568008423
11,40,0.001,1000,899,0,101,0.8157588745982886, 0.6730040529682243, 1.696546593343203,3,419.25461745262146
12,40,0.001,1000,883,0,117,0.8103653721417371, 0.7001839291123885, 1.6706942902677897,3,387.1695203781128
13,40,0.001,1000,925,0,75,0.8338589984213074, 0.7168674414517998, 1.7409433830634926,2,372.3031964302063
14,40,0.001,1000,924,0,76,0.8038875463777743, 0.6882801243986484, 1.7145940769800083,3,390.4664218425751
15,40,0.001,1000,938,0,62,0.8333234653066018, 0.7149683955953552, 1.7612542358543748,3,401.11915278434753
16,40,0.001,1000,866,0,134,0.8359093953245647, 0.7015421984764253, 1.6825487268272332,3,383.44854164123535
17,40,0.001,1000,940,0,60,0.8483693747874123, 0.7194223676464939, 1.779354117062033,2,386.36237025260925
18,40,0.001,1000,919,0,81,0.8358760619375873, 0.7179533767349032, 1.7432562120317023,3,393.94309639930725
19,40,0.001,1000,881,0,119,0.8339756614132392, 0.6986149380029832, 1.6966885100859805,3,395.948579788208
20,40,0.001,1000,880,0,120,0.8274361597884456, 0.7201860225349697, 1.682950963470942,3,390.5226900577545
21,40,0.001,1000,911,0,89,0.8235548372608243, 0.723625508367399, 1.7104993297604376,3,388.0009615421295
22,40,0.001,1000,901,0,99,0.8268675388877823, 0.6963744741825284, 1.7060397953949966,3,373.347220659256
23,40,0.001,1000,932,0,68,0.8230366442640603, 0.6900531372723416, 1.7387673746762982,3,390.65046095848083
24,40,0.001,1000,894,0,106,0.8130569911399022, 0.6796484630818967, 1.686792394523483,3,381.66005778312683
25,40,0.001,1000,869,0,131,0.811367341750745, 0.6875776411625028, 1.651364727917873,3,374.8113477230072
26,40,0.001,1000,914,0,86,0.8270121767838234, 0.7055816078454783, 1.722079605770864,2,387.1807870864868
27,40,0.001,1000,942,0,58,0.8380773537339767, 0.7045355042635573, 1.7681724386459394,3,378.3315382003784
28,40,0.001,1000,912,0,88,0.806384813518086, 0.6827801750047091, 1.698354695960203,3,408.9591591358185
29,40,0.001,1000,901,0,99,0.8169950041275471, 0.704133157970367, 1.6950240066553997,3,370.8589313030243
