event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,1019,0,True,True,"{4: (4, {'cpu': 11, 'gpu': 3, 'storage': 18}), 2: (2, {'cpu': 17, 'gpu': 15, 'storage': 17}), 7: (0, {'cpu': 8, 'gpu': 18, 'storage': 18}), 3: (34, {'cpu': 8, 'gpu': 20, 'storage': 5}), 1: (7, {'cpu': 20, 'gpu': 11, 'storage': 19}), 8: (8, {'cpu': 19, 'gpu': 10, 'storage': 2}), 5: (25, {'cpu': 1, 'gpu': 14, 'storage': 1}), 0: (16, {'cpu': 6, 'gpu': 19, 'storage': 4}), 6: (31, {'cpu': 5, 'gpu': 14, 'storage': 10})}","{(2, 4): ([(2, 4)], {'bandwidth': 39}), (7, 2): ([(0, 2)], {'bandwidth': 37}), (7, 4): ([(0, 4)], {'bandwidth': 23}), (3, 2): ([(2, 0), (0, 34)], {'bandwidth': 35}), (1, 4): ([(4, 6), (6, 7)], {'bandwidth': 36}), (1, 7): ([(0, 34), (34, 7)], {'bandwidth': 5}), (8, 2): ([(2, 4), (4, 8)], {'bandwidth': 41}), (8, 3): ([(8, 7), (7, 34)], {'bandwidth': 32}), (5, 1): ([(7, 25)], {'bandwidth': 44}), (5, 7): ([(0, 4), (4, 29), (29, 9), (9, 25)], {'bandwidth': 41}), (5, 4): ([(4, 8), (8, 25)], {'bandwidth': 19}), (5, 8): ([(8, 25)], {'bandwidth': 10}), (0, 4): ([(4, 16)], {'bandwidth': 44}), (0, 3): ([(16, 34)], {'bandwidth': 36}), (0, 5): ([(16, 34), (34, 24), (24, 25)], {'bandwidth': 33}), (0, 1): ([(7, 6), (6, 4), (4, 16)], {'bandwidth': 12}), (0, 8): ([(8, 4), (4, 16)], {'bandwidth': 3}), (6, 2): ([(2, 31)], {'bandwidth': 30}), (6, 7): ([(0, 4), (4, 31)], {'bandwidth': 23}), (6, 0): ([(16, 4), (4, 31)], {'bandwidth': 17}), (6, 3): ([(31, 2), (2, 0), (0, 34)], {'bandwidth': 5}), (6, 5): ([(25, 7), (7, 6), (6, 4), (4, 31)], {'bandwidth': 4})}",670,1328,882,0.6641566265060241,1,0
1,leave,1689,0,True,True,"{}","{}",670,0,0,0,0,0
2,arrival,2038,1,True,True,"{1: (4, {'cpu': 10, 'gpu': 12, 'storage': 5}), 5: (2, {'cpu': 1, 'gpu': 7, 'storage': 8}), 6: (0, {'cpu': 9, 'gpu': 17, 'storage': 2}), 4: (34, {'cpu': 8, 'gpu': 5, 'storage': 4}), 0: (7, {'cpu': 6, 'gpu': 12, 'storage': 6}), 2: (8, {'cpu': 18, 'gpu': 13, 'storage': 17}), 3: (31, {'cpu': 3, 'gpu': 12, 'storage': 1})}","{(6, 5): ([(0, 2)], {'bandwidth': 36}), (4, 1): ([(4, 0), (0, 34)], {'bandwidth': 42}), (4, 5): ([(2, 32), (32, 34)], {'bandwidth': 33}), (0, 6): ([(0, 4), (4, 6), (6, 7)], {'bandwidth': 46}), (0, 4): ([(7, 34)], {'bandwidth': 28}), (2, 5): ([(2, 4), (4, 8)], {'bandwidth': 45}), (2, 1): ([(4, 29), (29, 9), (9, 8)], {'bandwidth': 40}), (2, 6): ([(0, 1), (1, 33), (33, 34), (34, 7), (7, 8)], {'bandwidth': 23}), (2, 0): ([(7, 8)], {'bandwidth': 10}), (2, 4): ([(8, 7), (7, 34)], {'bandwidth': 1}), (3, 4): ([(31, 2), (2, 32), (32, 34)], {'bandwidth': 29}), (3, 5): ([(2, 31)], {'bandwidth': 25}), (3, 2): ([(8, 4), (4, 31)], {'bandwidth': 5})}",673,987,539,0.5460992907801419,1,0
3,leave,2711,1,True,True,"{}","{}",673,0,0,0,0,0
4,arrival,3034,2,True,True,"{4: (7, {'cpu': 14, 'gpu': 8, 'storage': 15}), 6: (8, {'cpu': 7, 'gpu': 11, 'storage': 20}), 2: (25, {'cpu': 8, 'gpu': 15, 'storage': 11}), 1: (9, {'cpu': 4, 'gpu': 20, 'storage': 6}), 0: (6, {'cpu': 17, 'gpu': 0, 'storage': 0}), 5: (34, {'cpu': 6, 'gpu': 20, 'storage': 12}), 3: (24, {'cpu': 18, 'gpu': 19, 'storage': 0})}","{(6, 4): ([(7, 8)], {'bandwidth': 43}), (2, 6): ([(8, 25)], {'bandwidth': 27}), (1, 6): ([(8, 9)], {'bandwidth': 38}), (1, 4): ([(7, 8), (8, 9)], {'bandwidth': 32}), (1, 2): ([(9, 25)], {'bandwidth': 12}), (0, 1): ([(6, 4), (4, 29), (29, 9)], {'bandwidth': 30}), (0, 2): ([(6, 7), (7, 25)], {'bandwidth': 8}), (5, 1): ([(9, 8), (8, 7), (7, 34)], {'bandwidth': 3}), (3, 5): ([(24, 34)], {'bandwidth': 46})}",232,576,470,0.8159722222222222,1,0
5,leave,3266,2,True,True,"{}","{}",232,0,0,0,0,0
6,arrival,3996,3,True,True,"{8: (4, {'cpu': 1, 'gpu': 19, 'storage': 6}), 7: (2, {'cpu': 3, 'gpu': 8, 'storage': 1}), 6: (0, {'cpu': 8, 'gpu': 20, 'storage': 9}), 4: (34, {'cpu': 14, 'gpu': 7, 'storage': 4}), 5: (8, {'cpu': 14, 'gpu': 15, 'storage': 5}), 9: (9, {'cpu': 9, 'gpu': 7, 'storage': 20}), 3: (7, {'cpu': 4, 'gpu': 12, 'storage': 17}), 1: (25, {'cpu': 0, 'gpu': 7, 'storage': 18}), 0: (24, {'cpu': 1, 'gpu': 5, 'storage': 1}), 2: (6, {'cpu': 16, 'gpu': 17, 'storage': 14})}","{(7, 8): ([(2, 4)], {'bandwidth': 31}), (6, 8): ([(0, 4)], {'bandwidth': 35}), (6, 7): ([(0, 2)], {'bandwidth': 32}), (4, 6): ([(0, 34)], {'bandwidth': 46}), (4, 8): ([(4, 16), (16, 34)], {'bandwidth': 45}), (5, 7): ([(2, 4), (4, 8)], {'bandwidth': 41}), (5, 4): ([(8, 7), (7, 34)], {'bandwidth': 34}), (9, 5): ([(8, 9)], {'bandwidth': 49}), (9, 7): ([(2, 0), (0, 4), (4, 29), (29, 9)], {'bandwidth': 42}), (9, 4): ([(9, 8), (8, 7), (7, 34)], {'bandwidth': 18}), (9, 6): ([(0, 4), (4, 8), (8, 9)], {'bandwidth': 10}), (3, 5): ([(7, 8)], {'bandwidth': 28}), (3, 7): ([(2, 32), (32, 34), (34, 7)], {'bandwidth': 10}), (3, 9): ([(7, 8), (8, 9)], {'bandwidth': 8}), (1, 5): ([(8, 25)], {'bandwidth': 45}), (1, 6): ([(0, 1), (1, 33), (33, 34), (34, 7), (7, 25)], {'bandwidth': 28}), (0, 3): ([(7, 25), (25, 24)], {'bandwidth': 18}), (0, 1): ([(24, 25)], {'bandwidth': 5}), (0, 4): ([(24, 34)], {'bandwidth': 0}), (2, 5): ([(6, 4), (4, 5), (5, 23), (23, 29), (29, 9), (9, 25), (25, 8)], {'bandwidth': 38}), (2, 0): ([(6, 7), (7, 25), (25, 24)], {'bandwidth': 25})}",438,1608,870,0.5410447761194029,1,0
7,leave,4434,3,True,True,"{}","{}",438,0,0,0,0,0
8,arrival,5066,4,True,True,"{3: (4, {'cpu': 9, 'gpu': 6, 'storage': 3}), 0: (2, {'cpu': 16, 'gpu': 15, 'storage': 8}), 2: (31, {'cpu': 15, 'gpu': 14, 'storage': 19}), 1: (0, {'cpu': 20, 'gpu': 7, 'storage': 10})}","{(0, 3): ([(2, 4)], {'bandwidth': 37}), (2, 0): ([(2, 31)], {'bandwidth': 24}), (1, 0): ([(0, 2)], {'bandwidth': 14})}",171,217,217,1.0,1,0
9,leave,5237,4,True,True,"{}","{}",171,0,0,0,0,0
