loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
0.0015,-0.0221,0.1445,4.8672,0.1965,0.4010,0.5064,-0.0002,0.5048
-0.1501,-0.1433,0.0823,4.7859,0.2474,0.7378,0.7403,0.1112,0.1783
0.0006,-0.0036,0.1043,4.7968,0.2166,0.6081,0.5462,-0.0771,0.4371
-0.0825,-0.0752,0.0808,4.7680,0.1670,0.6471,0.6605,0.0422,0.3094
-0.0192,-0.0139,0.0837,4.7258,0.2151,0.7186,0.6954,-0.0461,0.5196
-0.1598,-0.1631,0.0968,4.5133,0.2361,0.6598,0.7469,0.1091,0.7737
0.0587,0.0613,0.0788,4.2051,0.3419,1.0712,0.9764,-0.1207,1.0992
-0.0121,-0.0035,0.0681,4.2644,0.2091,0.7771,0.7707,-0.0683,0.4040
-0.1350,-0.1212,0.0569,4.2258,0.2574,0.9086,0.9683,0.0696,1.0144
-0.0584,-0.0562,0.0808,4.2554,0.1656,0.8657,0.7816,-0.0046,0.9983
-0.1387,-0.1194,0.0394,3.8929,0.2662,0.9564,0.9674,0.0618,1.2518
-0.1048,-0.1090,0.0842,3.7912,0.2216,0.8224,0.8625,0.0440,0.5789
0.0266,0.0293,0.0745,4.0007,0.2244,0.9178,0.8279,-0.0787,1.0411
-0.0458,-0.0446,0.0740,3.8262,0.2585,0.8590,0.8525,-0.0322,0.8364
-0.0712,-0.0497,0.0343,3.8663,0.2378,0.8542,0.8736,-0.0207,0.7635
-0.2774,-0.2565,0.0354,3.8618,0.2603,0.8078,0.8781,0.1823,1.2673
-0.0865,-0.0655,0.0344,3.8188,0.3067,0.8717,0.9640,0.0020,1.4427
-0.0233,-0.0314,0.0931,3.8427,0.2524,0.9501,0.9948,-0.0508,1.0054
-0.0531,-0.0543,0.0768,3.7220,0.2514,0.9018,0.8937,-0.0082,0.9650
-0.0207,-0.0196,0.0702,3.6192,0.2347,0.9541,0.8919,-0.0390,1.1702
-0.1254,-0.1132,0.0472,3.5805,0.2181,0.9296,0.8682,0.0219,0.8491
-0.1515,-0.1473,0.0603,3.4272,0.2299,0.8256,0.8858,0.0954,1.3567
-0.0348,-0.0413,0.0743,3.0601,0.3062,0.9094,0.9412,-0.0520,0.8944
-0.0589,-0.0524,0.0489,3.0934,0.2761,0.9842,0.9680,-0.0162,0.5470
